PERMNO,date,TICKER,PRC,VOL
84788,20070709,AMZN,72.06990,14819340
84788,20070710,AMZN,70.28000,8899587
84788,20070711,AMZN,70.73000,6624854
84788,20070712,AMZN,72.79000,11493365
84788,20070713,AMZN,75.10000,12503137
84788,20070716,AMZN,73.69000,8302475
84788,20070717,AMZN,73.79000,6069973
84788,20070718,AMZN,73.32000,6292624
84788,20070719,AMZN,73.35000,5285037
84788,20070720,AMZN,71.63000,9139883
84788,20070723,AMZN,71.74000,9267706
84788,20070724,AMZN,69.25000,26366479
84788,20070725,AMZN,86.17990,60565477
84788,20070726,AMZN,84.01000,23463463
84788,20070727,AMZN,84.03990,13949959
84788,20070730,AMZN,82.70000,12882375
84788,20070731,AMZN,78.54000,14072020
84788,20070801,AMZN,77.31000,16940742
84788,20070802,AMZN,79.71000,10371301
84788,20070803,AMZN,76.79990,8007800
84788,20070806,AMZN,79.00000,9012633
84788,20070807,AMZN,79.14000,8073777
84788,20070808,AMZN,77.78000,8297827
84788,20070809,AMZN,74.11000,8353326
84788,20070810,AMZN,74.78010,9072386
84788,20070813,AMZN,74.87000,6069952
84788,20070814,AMZN,73.45000,5951319
84788,20070815,AMZN,72.38000,6375840
84788,20070816,AMZN,72.79000,10793026
84788,20070817,AMZN,75.02000,7244111
84788,20070820,AMZN,74.70000,5917172
84788,20070821,AMZN,77.49000,8416879
84788,20070822,AMZN,78.50000,6862497
84788,20070823,AMZN,77.30000,5667890
84788,20070824,AMZN,79.25000,5689104
84788,20070827,AMZN,78.65000,7001389
84788,20070828,AMZN,76.22000,5832932
84788,20070829,AMZN,79.05000,5066659
84788,20070830,AMZN,78.68000,4632947
84788,20070831,AMZN,79.91000,6158920
84788,20070904,AMZN,82.70000,8255155
84788,20070905,AMZN,83.75000,9064777
84788,20070906,AMZN,86.21000,8833947
84788,20070907,AMZN,84.52000,8251038
84788,20070910,AMZN,83.34000,5367574
84788,20070911,AMZN,86.28000,6864683
84788,20070912,AMZN,87.30000,9021111
84788,20070913,AMZN,87.26000,5991194
84788,20070914,AMZN,87.77000,3956801
84788,20070917,AMZN,86.91000,4451105
84788,20070918,AMZN,88.75000,8933312
84788,20070919,AMZN,89.00000,6461197
84788,20070920,AMZN,89.65000,5782135
84788,20070921,AMZN,91.30000,6554740
84788,20070924,AMZN,92.59000,5318521
84788,20070925,AMZN,93.47990,5801205
84788,20070926,AMZN,93.43000,5771674
84788,20070927,AMZN,93.38000,2809759
84788,20070928,AMZN,93.15000,4817463
84788,20071001,AMZN,93.41000,5462863
84788,20071002,AMZN,92.36000,4867250
84788,20071003,AMZN,92.45500,5139188
84788,20071004,AMZN,92.26000,3401997
84788,20071005,AMZN,93.43000,5527820
84788,20071008,AMZN,95.85000,7432465
84788,20071009,AMZN,95.32370,7108635
84788,20071010,AMZN,94.66000,5575268
84788,20071011,AMZN,89.34000,9834667
84788,20071012,AMZN,92.37000,8362091
84788,20071015,AMZN,90.53000,5592370
84788,20071016,AMZN,89.53000,8012278
84788,20071017,AMZN,90.55000,7689891
84788,20071018,AMZN,89.85000,5350479
84788,20071019,AMZN,89.76000,9115503
84788,20071022,AMZN,91.29000,9858198
84788,20071023,AMZN,100.82000,41763586
84788,20071024,AMZN,88.73000,41621772
84788,20071025,AMZN,88.21000,11638418
84788,20071026,AMZN,90.00000,8830625
84788,20071029,AMZN,90.10000,7097456
84788,20071030,AMZN,88.24000,5408392
84788,20071031,AMZN,89.15000,7061521
84788,20071101,AMZN,87.65000,8269264
